,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,2 курс,,,,,,,,,,,,,,2 курс,,,,,,,,,,,,,,,,,2 курс,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 курс,,,,,2 курс,,,,2 курс,,
2,,,,Физтех-школа радиотехники и компьютерных технологий,,,,,,,,,,,,,,,Физтех-школа физики и исследований им. Ландау,,,,,,,,,,Физтех-школа аэрокосмических технологий ,,,,,,,,,,,,,,"Физтех-школа электроники, фотоники и молекулярной физики",,,,,,,,,,,,,,,,,,Физтех-школа прикладной математики и информатики,,,,,,,,,,,,,,,,,,,,,,,,,Физтех-школа биологической и медицинской физики,,,,,,,,,ИНБИКСТ,,,,,ФБВТ,,,,ВШПИ,,
3,Дни,Часы,Б01-201,Б01-202,Б01-203,Б01-204,Б01-205,Б01-206,Б01-207,Б01-208,С01-219,Дни,Часы,Б02-201,Б02-202,Б02-203,Б02-204,Б02-205,Б02-206,Б02-207,Б02-208,Б02-209,Б02-210,Б02-211,Б02-212,Б02-213,Б02-214,Дни,Часы,Б03-201,,Б03-202,,Б03-203,Б03-204,Б03-205,,Б03-207,Б03-211,Б03-212,Б03-213,Дни,Часы,Б04-201,Б04-202,Б04-203,Б04-204,Б04-205,Б04-207,Б04-208,Дни,Часы,Б05-201,Б05-202,Б05-203,Б05-204,Б05-205,Б05-206,Б05-207,Б05-208,Дни,Часы,Б05-231,Б05-232,Б05-220,,Б05-221,Б05-222,Б05-223,Б05-224,,Б05-225,Б05-226,Б05-227,Б05-228,,,Б05-229,,Б05-211,Б05-251,Б05-252,Б05-253,Дни,Часы,Б06-201,Б06-202,Б06-203,Б06-204,Б06-205,Б06-206,Б06-207,Дни,Часы,Б07-201,Б07-202,Б07-203,Дни,Часы,Б09-201,Б09-202,Дни,Часы,Б13-201,Б013-202,
4,Понедельник,900 - 1025,,,,,,,,,Базовый день,Понедельник,900 - 1025,Основы численного моделирования физических процессов (C++/Python)(факультатив),,,,,,,,,,,,,,Понедельник,900 - 1025,,,,,,,,,, Аналитическая механика/ доцент Кириллов О. Е./ 241 ауд.,,,Понедельник,900 - 1025,,,,,,,,Понедельник,900 - 1025,,,,,,,,,Понедельник,900 - 1025,,,,,,,,,,,,,,,,,,,,,,Понедельник,900 - 1025,,,,,,,,Понедельник,900 - 1025,Биология/ доцент Граф А.А.,,,Понедельник,900 - 1025,,,Понедельник,900 - 1025,,,
5,,1045 - 1210,,,,,,,,,,,1045 - 1210,,,,,,,,,,,,,,,,1045 - 1210,,,,,,,,,,Общая физика: лабораторный практикум,Колебания и волны 419ауд.,Аналитическая механика 420 ауд.,,1045 - 1210,,,,,,,,,1045 - 1210,,,,,,,,,,1045 - 1210,,,"Теория групп, колец и полей/ лекция/ Савватеев А. В./ Ильинский Д.Г./ УЛК 2 № 424",,,,,,,"Теория групп, колец и полей/ лекция/ Савватеев А. В./ Ильинский Д.Г./ УЛК 2 № 424",,,,,,,,,,,,,1045 - 1210,,,,,,,,,1045 - 1210,Биология,Биология,Биология,,1045 - 1210,,,,1045 - 1210,,,
6,,1220 - 1345,,,,,,,,,,,1220 - 1345,,,,,,,,,,,,,,,,1220 - 1345,,,,,,,,,,,,,,1220 - 1345,,,,,,,,,1220 - 1345,,,,,,,,,,1220 - 1345,,,,,,,,,,,,,,,,,,,,,,,1220 - 1345,,,,,,,,,1220 - 1345,Иностранный язык,Иностранный язык,Дифференциальные уравнения/ доц. Аллилуева А.И./,,1220 - 1345,Прикладные вычисления,,,1220 - 1345,,,
7,,1355 - 1520,,,,,,,,,,,1355 - 1520,Базовый день,,,,,,,,,,,,,,,1355 - 1520,,,,,,,,,Динамические системы /доцент Семендяев С.В./509 ГК,,Общая физика               419 ауд.,Основы почности 420 ауд.,,1355 - 1520,,,,,,,,,1355 - 1520,,,,,,,,,,1355 - 1520,,,,,,,,,,,,,,,,,,,,,,,1355 - 1520,,,,,,,,,1355 - 1520,,,Дифференциальные уравнения/ доц. Аллилуева А.И./,,1355 - 1520,Случайные процессы и математическая статистика/доцент Дубинская В.Ю./УЛК 1 № 5.18,,,1355 - 1520,,,
8,,1530 - 1655,,,,,,,,,,,1530 - 1655,Введение в экспериментальную физику высоких энергий (факультатив)  А.Б. Борисов/ 408 ЛК ,,,,,,,,,,,,,,,1530 - 1655,,,,,,,,,Динамические системы 509 ГК,Общая физика               419 ауд.,Общая физика: лабораторный практикум,Физическая культура,,1530 - 1655,,,,,,,,,1530 - 1655,Физическая культура,,,,,,,,,1530 - 1655,,,,,,,,,,,,,,,,,,,,,,,1530 - 1655,,,,,,,,,1530 - 1655,,,,,1530 - 1655,,,,1530 - 1655,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Прикладные вычисления,,,,,
10,,1705 - 1830,,,,,,,,,,,1705 - 1830,Радиотехнические методы усиления и обработки сигналов (факультатив),,,,,,,,,,,,,,,1705 - 1830,А.К  №4 : 1из 6:  Компьютерные технологии решения научных задач/ Анализ данных на Python/  Технологии продвинутого программирования на С++/ Численный расчёт волновых процессов/ Разработка web-приложений на Python/ Технологии параллельного программирования на С++ /,,,,,,,,Физическая культура,Колебания и волны 419ауд.,,Теория вероятностей / 205 ауд.,,1705 - 1830,,,,,,,,,1705 - 1830,,,,,,,,,,1705 - 1830,,,,,,,,,,,,,,,,,,,,,,,1705 - 1830,,,,,,,,,1705 - 1830,,,,,1705 - 1830,,,,1705 - 1830,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,1835 - 2000,,,,,,,,,,,1835 - 2000,,,,,,,,,,,,,,,,1835 - 2000,,,,,,,,,,,,,,1835 - 2000,,,,,,,,,1835 - 2000,Презентации кафедр ФПМИ/ Б.Физ.,,,,,,,,,1835 - 2000,Презентации кафедр ФПМИ/ Б.Физ.,,,,,,,,,,,,,,,,,,,,,,1835 - 2000,,,,,,,,,1835 - 2000,Занятия в г. Москве,,,,1835 - 2000,Биология/ 521 ГК,,,1835 - 2000,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Вторник,900 - 1025,Гармонический анализ 422  ГК,Физическая культура,,Дифференциальные уравнения 418 ГК,,Дифференциальные уравнения 426 ГК,Физическая культура,,Физическая культура,Вторник,900 - 1025,Иностранный язык,Иностранный язык,Иностранный язык,Иностранный язык,Иностранный язык,Иностранный язык,Иностранный язык,Иностранный язык,Иностранный язык,Иностранный язык,Иностранный язык,Иностранный язык,Иностранный язык,Иностранный язык,Вторник,900 - 1025,Дифференциальные уравнения/ доцент Дубинская В.Ю./ Б.Хим.,,,,,,,,,Колебания и волны (по чет.нед.)/доцент  Cидоренко Н.В./ 314 ауд.,,,Вторник,900 - 1025,Химическая физика: лабораторный практикум 402 ЛК,Общая физика: лабораторный практикум,Физическая культура,,,Общая физика: лабораторный практикум,Общая физика: лабораторный практикум,Вторник,900 - 1025,,"Общая физика 
    524 ГК",Физическая культура,,,Дифференциальные уравнения 415 ГК,Теория вычислительной сложности 412 ГК,Теория вычислительной сложности 412 ГК,Вторник,900 - 1025,,,,,Физическая культура,Базы данных ,Базы данных ,Физическая культура,,Физическая культура,,,Физическая культура,,,,,,Базы данных 320 ЛК,,Программирование на языке С++ 317 ЛК,Вторник,900 - 1025,Общая физика: лабораторный практикум, Физическая химия: лаб.практикум,Общая физика: лабораторный практикум,Физическая культура,,Физическая культура,,Вторник,900 - 1025,Общая геометрия и топология/ доцент Цветкова А.В.,,Общая физика: оптика/ доцент Строев А.Ю.,Вторник,900 - 1025,Теория динамических систем/ доцент Зараменских И.Е./ УЛК 1 № 5.18,,Вторник,900 - 1025,,,5.0
16,,1045 - 1210,Дифференциальные уравнения 422 ГК,,Общая физика              523 ГК,,,Гармонический анализ 426 ГК,,,,,1045 - 1210,"Теория поля/ Андрианов Е.С. к.ф.-м.н., доцент / 239 НК/ Мусаев Э.Т.к.ф.-м.н., доцент/ 117 ГК",,,,,,,,,,,,,,,1045 - 1210,Гармонический анализ/ профессор Дымарский Я.М./ Акт.зал,,,,,,,,,,,,,1045 - 1210,,,Гармонический анализ 418 ГК,Гармонический анализ 428 ГК,Физическая культура,,,,1045 - 1210,Общая физика 524 ГК   ,Теория вероятностей 516а ГК,Теория вероятностей 515 ГК,Общая физика        520 ГК,Теория вероятностей 516 ГК,,,,,1045 - 1210,Физическая культура,,Физическая культура,,Дифференциальные уравнения 507а ГК,,,Дифференциальные уравнения 509 ГК,,,,,Гармонический анализ  511  ГК,,,Теория вероятностей 424 ГК,,Физическая культура,Алгоритмы и структуры данных,Гармонический анализ/ профессор Дымарский Я.М./ Акт.зал,,,1045 - 1210,,,,Общая физика: электричество и магнетизм/ доцент Извекова Ю.Н./ Гл.Физ.,,,,,1045 - 1210,,,Общая физика: оптика и атом.физика,,1045 - 1210,,,,1045 - 1210,не занимать вторник занятия в Москве,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,1220 - 1345,Иностранный язык,Иностранный язык,Иностранный язык,Иностранный язык,Иностранный язык,Иностранный язык,Иностранный язык,Иностранный язык,Иностранный язык,,1220 - 1345,,,Теория поля        529 ГК,,Теория поля        530 ГК,,,Теория поля         531 ГК,Теория поля          533 ГК,,Теория поля             535 ГК,"Гармонический анализ (модерн.1)
518 ГК/(классич.) 418 ГК",Гармонический анализ (классич.) 418 ГК / (модерн.1) 518 ГК/  (модерн.2) 520 ГК,"Гармонический анализ (модерн. 2 ) 520 ГК,  (классич.) 418 ГК",,1220 - 1345,Иностранный язык,,Иностранный язык,,Иностранный язык,Иностранный язык,Иностранный язык,,Иностранный язык,Иностранный язык,Иностранный язык,Иностранный язык,,1220 - 1345,,,Общая физика             527 ГК,,Аналитическая механика 409 ГК,,Общая физика         523 ГК,,1220 - 1345,Аналитическая механика/ профессор Амелькин Н.И./239 НК,,,,,,,,,1220 - 1345,Дискретные структуры/ ассистент Курносов А.Д./113 ГК,,АКОС 701 КПМ,,,,,,,,,,,,,Дифференциальные уравнения  524  ГК,,Дискретные структуры/ ассистент Курносов А.Д./113 ГК,,Дискретные структуры/ ассистент Курносов А.Д./113 ГК,,,1220 - 1345,"Теория поля 
526  ГК",Информатика   ,Гармонический анализ  515 ГК,,,,,,1220 - 1345,Дифференциальные уравения/ проф. Назайкинский В.Е.,,,,1220 - 1345,Иностранный язык,Иностранный язык,,1220 - 1345,А.К. № 4: 2 из 3: Разработка операционных систем/Теория и практика многопоточной синхронизации/Компьютерные сети,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,1355 - 1520,,Гармонический анализ   515 ГК,,Физическая культура,,,Гармонический анализ 516 ГК,Общая физика             432 ГК,Гармонический анализ    516а ГК,,1355 - 1520,Общая физика: лабораторный практикум,Общая физика: лабораторный практикум,,Общая физика: лабораторный практикум,,Общая физика: лабораторный практикум,Общая физика: лабораторный практикум,,,Общая физика: лабораторный практикум,,,,,,1355 - 1520,Дифференциальные уравнения 522 ГК,,Гармонический анализ 523 ГК,,,,,,Дифференциальные уравнения 524 ГК,Гармонический анализ 206 ауд,Дифференциальные уравнения. 205 ауд.,Дифференциальные уравнения. 210ауд.,,1355 - 1520,Иностранный язык,Иностранный язык,Иностранный язык,Иностранный язык,Иностранный язык,Иностранный язык,Иностранный язык,,1355 - 1520,Иностранный язык,Иностранный язык,Иностранный язык,Иностранный язык,Иностранный язык,Иностранный язык,Иностранный язык,Иностранный язык,,1355 - 1520,Теория вероятностей/ профессор Шабанов Д.А./Б.Физ.,,,,,,,,,,,,,,,,,,,,,,1355 - 1520,Физическая культура,,Общая физика              514 ГК,Основы физической химии: лаб.практикум,Общая физика: лабораторный практикум,Общая физика: лабораторный практикум,Общая физика: лабораторный практикум,,1355 - 1520,Биологические макромолекулы и их функции/ профессор Лопина О.Д.,,Применение программных комплексов к решению задач,,1355 - 1520,Иностранный язык,Иностранный язык,,1355 - 1520,А.К. № 4: 2 из 3: Разработка операционных систем/Теория и практика многопоточной синхронизации/Компьютерные сети,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,1530 - 1655,Методы обработки радиотехнических сигналов/доцент Григорьев А.А./ Акт.зал,,,,,,,,,,1530 - 1655,,,,,Дифференциальные уравнения 210  ГК,,,Гармонический анализ (модерн.1)  518 ГК/ (класс.) 428 ГК,Гармонический анализ (модерн.1)  518 ГК/(модерн.2) 509 ГК/ (класс.) 428 ГК,,Гармонический анализ (модерн.2) 509 ГК/ (класс.) 428 ГК,Теория поля              520 ГК,Теория поля            522 ГК,Теория поля             523 ГК,,1530 - 1655,,,,,Аналитическая механика 514 ГК,Теория вероятностей 511 ГК,Дифференциальные уравнения 524 ГК,,,Дифференциальные уравнения. 206 ауд.,Гармонический анализ 205 ауд,Гармонический анализ 210 ауд,,1530 - 1655,,,,,,,,,1530 - 1655,Дифференциальные уравнения 512 ГК,,,Гармонический анализ 426 ГК,Аналитическая механика 204а ГК,,Алгоритмы и модели вычислений 524 ГК,Физическая культура,,1530 - 1655,Иностранный язык,Иностранный язык,,Иностранный язык,Иностранный язык,Иностранный язык,Иностранный язык,Иностранный язык,,Базы данных ,Иностранный язык,Иностранный язык,Иностранный язык,,,Иностранный язык,,Иностранный язык,Иностранный язык,Иностранный язык,Иностранный язык,,1530 - 1655,,,,,,,,,1530 - 1655,,,,,1530 - 1655,,,,1530 - 1655,А.К. № 5: 1 из 2: Введение в технологии DevOps/Параллельные и распределенные вычисления,,6.0
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
