,Project Title,Project Description,Learning Outcomes for Students,Roles and Responsibilies of Student,Students' pre-requisites,Research Institute of Internship Supervisor,Name of Internship Supervisor,Workplace Address,What is the project's research category?,No. of Students Required
0,3D computer vision: accelerated 3D development with sparse data and deep learning,"This project targets to quickly and accurately build 3D representations of objects using limited visual data or point cloud. The emphasis is on leveraging pioneering reconstruction techniques to enhance the speed and accuracy of this process, ultimately contributing to the advancement of real-time 3D vision technology.","1. Understand the fundamental concepts of 3D computer vision.
2. Develop practical skills in deep learning techniques for 3D data.
3. Explore real-world applications of 3D computer vision.
4. Acquire hands-on experience with popular libraries and frameworks for 3D computer vision.
5. Potential publication in academic journals or conference proceedings.","1. Technique Summary: Prepare thoroughly by reviewing relevant 3D computer vision readings and software documentation. 
2. Hands-On Project Work: Engage deeply in hands-on project work related to 3D development with sparse data and deep learning. 
3. Critical Thinking and Problem-Solving. Develop critical thinking skills by analyzing problems in 3D computer vision and applying appropriate methodologies to solve them. ","1. Knowledge in Computer Science: Understanding data structures, algorithms, and basic computer graphics concepts.
2. Image Processing and Computer Vision: Interested in image processing techniques and basic computer vision algorithms.
3. Machine Learning and Deep Learning: Knowledge of machine learning fundamentals.",SIMTech,Chaoyu Dong,"Singapore Institue of Manufacturing Technology, 5 Cleantech Loop #01-01
CleanTech Two Block B
Singapore 636732","Computing and Information Sciences,Computer Science",4
1,3D Open-Vocabulary Affordance Detection,"This project targets visual language models on 3D scenes. With the development of the Large Language Model (LLM), more and more interests focus on how to utilize visual language models to understand 3D scenes, which is a key function for a general robotic application. Unfortunately, limited by the small scale of the 3D dataset, most visual language models still lie in the 2D domain. In this project, you will try to unleash the power of a 2D visual language model for affordance detection, which can provide fine-grained understanding of 3D scenes for robotic applications.","The students will get:
1.  Hands-on experience with  multi-modality data,
2. Advanced techniques in visual language model and 3D scene understanding. 
3. The process of academic research, including paper reading, idea development, and experimental implementation.","1. Paper Survey: Students are required to survey related papers and summarize the related works.
2. Method Proposal: Students must develop several plausible solutions based on the summary of related works and available resources.
3. Method Implementation: Students are expected to independently implement the proposed method.
4. Experiment: Students should design experiments to validate the advantages of the proposed method.
5. Project Report: Students must write a detailed project report for future reference, encapsulating all aspects of the project.","The students are expected to：
1.Passion for AI: Students should have a keen interest in artificial intelligence.
2.Foundational Knowledge: A solid understanding of computer vision and deep learning is required.
3.Framework Familiarity: Students need to be familiar with the PyTorch framework.
4.Advantageous Knowledge: Familiarity with diffusion models is a plus.",I2R,Yang Xulei,"Institute for Infocomm Research, 1 Fusionopolis Way, Connexis, #21-01, Singapore 138632","Computing and Information Sciences,Computer Science",1
2,3D Open-Vocabulary Visual Grounding,"This project targets visual language models on 3D scenes. With the development of the Large Language Model (LLM), more and more interests focus on how to utilize visual language models to understand 3D scenes, which is a key function for a general robotic application. Unfortunately, limited by the small scale of the 3D dataset, most visual language models still lie in the 2D domain. In this project, you will try to unleash the power of a 2D visual language model for 3D object retrieval with a given text prompt, which is also called grounding.","The students will get:
1.  Hands-on experience with  multi-modality data,
2. Advanced techniques in visual language model and 3D scene understanding. 
3. The process of academic research, including paper reading, idea development, and experimental implementation.","1. Paper Survey: Students are required to survey related papers and summarize the related works.
2. Method Proposal: Students must develop several plausible solutions based on the summary of related works and available resources.
3. Method Implementation: Students are expected to independently implement the proposed method.
4. Experiment: Students should design experiments to validate the advantages of the proposed method.
5. Project Report: Students must write a detailed project report for future reference, encapsulating all aspects of the project.","The students are expected to：
1.Passion for AI: Students should have a keen interest in artificial intelligence.
2.Foundational Knowledge: A solid understanding of computer vision and deep learning is required.
3.Framework Familiarity: Students need to be familiar with the PyTorch framework.
4.Advantageous Knowledge: Familiarity with diffusion models is a plus.",I2R,Yang Xulei,"Institute for Infocomm Research, 1 Fusionopolis Way, Connexis, #21-01, Singapore 138632","Computing and Information Sciences,Computer Science",1
3,3D Printing of Ceramic Materials for Extreme Environment Applications,"The project aims to revolutionize the manufacturing of ceramics for use in extreme conditions, such as high-temperature environments, corrosive atmospheres, aerospace, and radiation-related applications. This project combines cutting-edge 3D printing technology with advanced ceramic materials to fabricate highly customized, durable, heat-resistant, and radiation-shielding components for industries where traditional manufacturing methods have proven inadequate.","(1) Understand 3D Printing Process
(2) Understand Post-Processing Heat Treatment Processes
(3) Understand Microstructural and Elemental Analysis of Ceramic Materials
(4) Experimental Planning and Design Skills
(5) Hands-On Experience with Additive Manufacturing Technologies
(6) Hands-On Experience with Research & Development Work Environment","Project
(1) Assist and Involved in 3D Printing Process and Post-Processing
(2) Carry Out Experimental Validation 
(3) Carry Out Feedstock & Sample Preparation
(4) Carry Out Material Characterization and Analysis

Personal
(1) Display Good Team Work
(2) Critical Thinking for Problem Solving
(3) Willingness to Learn",,SIMTech,Yan Han Liew,"Singapore Institute of Manufacturing Technology (SIMTech) @ CT2B
5 Cleantech Loop #01-01
CleanTech Two Block B
Singapore 636732","Engineering and Technology,Chemistry, Physics, Natural sciences",1
4,A Generative AI-Based Framework for Interpreting Deep Learning Predictions in Histological Image Analysis,"The project aims to enhance the interpretability of deep learning models used in histological image analysis. Despite the impressive performance of these models in medical imaging, their ""black-box"" nature poses significant challenges, particularly in ensuring reliability and gaining trust from medical professionals. This research seeks to demystify these complex models using Generative AI techniques, offering a transparent window into their decision-making processes. The project will focus on developing a novel framework that integrates Generative AI with deep learning models, specifically tailored for histological images. This framework will be designed to generate intuitive, visual explanations for the predictions made by deep learning models. These visual explanations are expected to correlate strongly with the factors that human experts consider during diagnosis, thereby bridging the gap between AI-driven and traditional histopathological analysis. A significant portion of the research will involve validating the effectiveness of this approach. This will be achieved through collaborative efforts with pathologists, where the interpretability of AI predictions will be assessed in terms of and practical utility in clinical settings. The goal is to foster a deeper understanding and trust in AI-assisted medical diagnostics or drug screening, paving the way for more widespread adoption in healthcare practices and research settings.","•	Knowledge of cancer immunology
•	Knowledge of biomedical image processing
•	Knowledge of advanced spatial omics technology
•	Hands-on experience with real-world biomedical (image) data
•	Deep learning modelling skill
•	Interdisciplinary research experience","•	Organizing their time well
•	Updating work progress on weekly basis
•	Reading papers to learn about DL optimization strategies
•	Resourcing for software packages when necessary
•	Maintaining a positive learning attitude","•	Programming skill, deep learning/ image processing skill will be a plus
•	Problem solving skill
•	Fundamental knowledge of biology/ immunology",BII,Mai Chan LAU,"BioInformatics Institute, 8A Biomedical Grove, Immunos, Level 4, Singapore 138665","Computing and Information Sciences,Biomedical Sciences,Computer Science,Biomedical Engineering,Mathematics",4
5,A New Era in Human Factors: Multimodal LLMs for Human-centric Generatation,"In recent years, the potential applications of Large Multimodal Models (LMMs) in fields such as healthcare, social psychology, and industrial design have attracted wide research attention, providing new directions for human factors research. This project aims to explore the integration of large language models (LLMs) with multimodal data inputs to enhance human-computer interaction. By incorporating electroencephalography (EEG) and eye-tracking devices, this project seeks to develop a sophisticated framework that leverages neural and visual signals to inform and optimize the outputs of LLMs. The primary objective is to create more intuitive, adaptive, and responsive systems that align closely with human intentions and cognitive states. By analyzing real-time EEG and eye-tracking data, the system can gain insights into user engagement, emotional states, and attentional focus, enabling it to generate content and responses that are not only contextually relevant but also empathetically attuned to the user's mental and emotional condition. This research promises to significantly advance the field of human factors, paving the way for more natural and effective human-centric applications in various domains, including education, healthcare, and user experience design.","1). Develop a prototype of recommender system and obain ""hands-on"" experiences of the generative AI techniques. 
2). Submit one top-tier conference/journal paper when the project finishes.","1) Literature review_x000D_
2) Implement the Generative AI algorithims with python and prompts _x000D_
3) Prepare a report/paper draft based on the experimental results","python language, basic machine learning knowledge",IHPC,Shanshan Feng,"Institute of High Performance Computing, 1 Fusionopolis Way, Connexis North, #16-16, Singapore 138632",Computing and Information Sciences,1
6,A Resource-Efficient Multimodal Deep Learning Approach on Medical Images Diagnostics,"Automation of accurate disease classification/detection for clinical imaging saves immense time and manpower resources and to that end, deep learning approaches have achieved state-of-the-art performance on various MRI and CT scans. However, these approaches still require large image datasets that must be accurately and laboriously labelled. Inspired by recent advances in resource-efficient multimodal approaches, the goal of this project is to develop a novel and data-efficient deep learning method for disease classification/detection on clinical imaging with reduced annotation burden. Such capability could be further applied for comprehensive and differential diagnosis in clinical settings.",The internship will help the student to learn image pre-processing and gain hands-on experience in the implementation and improvement of the algorithms. The student will get familiar with deep learning applications on the medical images with potential Conference or Journal paper publication.,This project involves developing and implementing a deep learning-based diagnosis system on the medical images and the intern’s position is to: Task 1 -- Perform a literature review on the relevant studies. Task 2 -- Extend previous methods to further improve and develop a novel deep learning-based approach. Regular meetings will be arranged. The student will deliver the documentation and source code on the method investigated at the end of the attachment. The presentation will be arranged to show the results and findings.,"1. Prior knowledge in Machine Learning, Deep Learning, Computer Vision, etc.
2. Sufficient experience in programming in python
3. Familiarity with PyTorch libraries 
4. Good verbal and written communication and troubleshooting skills",I2R,Yu Yang,"Institute for Infocomm Research, 1 Fusionopolis Way, Connexis, #21-01, Singapore 138632","Computing and Information Sciences,Computer Science",1
7,A signal processing method to improve mass flow measurements,Develop an estimation algorithm through Matlab to determine accurately the phase shift between sensor signals in order to achieve reliable mass flow measurements. ,"The student will be able to learn and experience the process of designing algorithm, system integration, validate numerical model with experimental results as well asl measurement data analysis. The student will also learn the concept of metrology, and understand the importance measurement traceability to the SI units to ensure that the measurements are accurate and reliable.","(1). Survey of related published literatures (weeks 1 to 4);

(2). Participate in development of algorithm (weeks 1 to 8);

(3). Assist in integration of measurement setup (weeks 3 to 12);

(4). Validate numerical model with experimental results (weeks 12 to 20);

(5). Generate report on the project (weeks 19-20).","Matlab, Basic statistics and hands-on experience with lab ",NMC,Dr David Khoo,"National Metrology Centre, 8 CleanTech Loop  #01-20 Singapore 637145","Engineering and Technology,Mechanical Engineering",1
8,A trimodal AI framework for target discovery,"Spatial omic technologies enable high-throughput spatially-resolved measurements of gene and/or protein expression in complex tissues. However, analytical pipelines remain underdeveloped, impeding biological insight and clinical translation. In this project, we will develop methods and algorithms for integration of whole-slide imaging and clinical data with spatial omics data for biomarker discovery. ","Student will develop proficiency in AI models for clinical imaging analysis, such as vision transformers and graph neural networks. Student will also develop proficiency in processing and analyzing spatial omics data, including quality control, data preprocessing and visualization. ","Student will collaborate with senior scientists to design, develop and train models for integration of spatial omics data with imaging and clinical data. Student will also assist in data preparation and preprocessing. Student will document experiments and findings, and prepare reports and presentations. Student will actively participate in team discussions and attend lab meeting. ","Strong programming skills in Python and/or R. Familiarity with  machine learning libraries (eg. scikit-learn, PyTorch, DGL) and/or scRNA-seq/spatial omic analysis pipelines, is a plus. ",GIS,Grace Yeo,"Genome Institute of Singapore, 60 Biopolis Street, Genome, #02-01, Singapore 138672","Computing and Information Sciences,Biomedical Sciences,Computer Science",2
9,A two-dimensional world with liquid metals and van der Waals materials : towards new applications in sustainable electronics and sensing,"Semiconducting materials such as silicon form the bedrock of modern electronics that enabled the Information Age today. The discovery of 2D semiconductors in the last decade, sparked by the Nobel prize winning ‘Scotch Tape Exfoliation’ of graphene in 2004, presents an alluring prospect for next-generation devices. Such atomically thin materials with extreme size to thickness aspect ratios up to 1,000,000 have attracted intense research efforts, with wide ranging applications in AI, quantum and biosensing. Recently, liquid metals present an intriguing approach to synthesize 2D oxides, a useful addition to the diverse 2D material family.
We will synthesize 2D materials and create functional devices
for use-inspired fundamental studies.","Students will have experience in working in cleanrooms. They will be exposed to fabrication techniques and tools such as nanolithography lithography, thermal deposition systems, and 2D material stacking. They will learn and work with measurement tools like electrical probe stations and dilution refrigerators, which can cool samples to extreme temperatures colder than older space (-273 degrees celsius). 
Students will learn to process and analyze experimental data, and should be able to apply their class room learning on material and solid-state physics to real world experiments.","Students will be responsible for synthesizing and basic characterization
of material properties, and assist staff in device fabrication. 
Students will be responsible for their sample and data.","Curious, willing to learn, physics, material science, electrical engineering backgrounds. Python programming knowledge is useful. ",IMRE,Aaron Lau Chit Siong,"Institute of Materials Research and Engineering, 2 Fusionopolis Way,
Innovis, Level 9,
Singapore 138634","Physical Sciences,Materials Engineering,Physics",2
