city,region,geo
Абаза,Хакасия,"52.651662,90.088581"
Абакан,Хакасия,"53.721152,91.442396"
Абдулино,Оренбургская область,"53.683962,53.654989"
Абинск,Краснодарский край,"44.866237,38.151288"
Агидель,Башкортостан,"55.899043,53.933439"
Агрыз,Татарстан,"56.526323,52.995266"
Адыгейск,Адыгея,"44.884856,39.190567"
Азнакаево,Татарстан,"54.858233,53.079923"
Азов,Ростовская область,"47.112448,39.423581"
Ак-Довурак,Тыва,"51.174721,90.593201"
Аксай,Ростовская область,"47.269914,39.862283"
Алагир,Северная Осетия,"43.041711,44.219884"
Алапаевск,Свердловская область,"57.852511,61.694524"
Алатырь,Чувашия,"54.840526,46.591949"
Алдан,Якутия,"58.608597,125.388878"
Алейск,Алтайский край,"52.492167,82.779457"
Александров,Владимирская область,"56.397774,38.727621"
Александровск,Пермский край,"59.16293,57.584669"
Александровск-Сахалинский,Сахалинская область,"50.895768,142.158915"
Алексеевка,Белгородская область,"50.630035,38.686568"
Алексин,Тульская область,"54.502429,37.066034"
Алзамай,Иркутская область,"55.555072,98.664357"
Алупка,Крым,"44.418052,34.052581"
Алушта,Крым,"44.676169,34.409667"
Альметьевск,Татарстан,"54.901171,52.29723"
Амурск,Хабаровский край,"50.226797,136.910607"
Анадырь,Чукотский АО,"64.735814,177.518913"
Анапа,Краснодарский край,"44.894269,37.316906"
Ангарск,Иркутская область,"52.544358,103.888249"
Андреаполь,Тверская область,"56.646257,32.2647"
Анжеро-Судженск,Кемеровская область,"56.08318,86.018216"
Анива,Сахалинская область,"46.720816,142.521879"
Апатиты,Мурманская область,"67.459713,33.581828"
Апрелевка,Московская область,"55.544998,37.073382"
Апшеронск,Краснодарский край,"55.544998,37.073382"
Арамиль,Свердловская область,"56.700276,60.828647"
Аргун,Чечня,"43.292662,45.867439"
Ардатов,Мордовия,"54.848898,46.23627"
Ардон,Северная Осетия,"43.179601,44.30535"
Арзамас,Нижегородская область,"55.386799,43.814133"
Аркадак,Саратовская область,"51.938814,43.499858"
Армавир,Краснодарский край,"44.997655,41.129644"
Армянск,Крым,"45.000547,35.062403"
Арсеньев,Приморский край,"44.163345,133.268729"
Арск,Татарстан,"56.091316,49.876998"
Артём,Приморский край,"43.353047,132.180339"
Артёмовск,Красноярский край,"54.343788,93.438121"
Артёмовский,Свердловская область,"57.337669,61.895513"
Архангельск,Архангельская область,"64.539911,40.515762"
Асбест,Свердловская область,"57.014317,61.461474"
Асино,Томская область,"56.997519,86.153906"
Астрахань,Астраханская область,"46.347614,48.030178"
Аткарск,Саратовская область,"51.877724,45.003655"
Ахтубинск,Астраханская область,"48.284884,46.164422"
Ачинск,Красноярский край,"56.269501,90.49524"
Ачхой-Мартан,Чечня,"43.190914,45.285672"
Аша,Челябинская область,"54.990628,57.278469"
Бабаево,Вологодская область,"59.389227,35.937768"
Бабушкин,Бурятия,"51.715839,105.864363"
Бавлы,Татарстан,"54.40332,53.235781"
Багратионовск,Калининградская область,"54.386514,20.639647"
Байкальск,Иркутская область,"51.522664,104.148877"
Баймак,Башкортостан,"52.597811,58.308136"
Бакал,Челябинская область,"54.938064,58.80918"
Баксан,Кабардино-Балкария,"43.681946,43.534622"
Балабаново,Калужская область,"55.178758,36.659843"
Балаково,Саратовская область,"52.01843,47.819676"
Балахна,Нижегородская область,"56.504919,43.601331"
Балашиха,Московская область,"55.797007,37.938118"
Балашов,Саратовская область,"51.554601,43.146478"
Балей,Забайкальский край,"51.582284,116.637948"
Балтийск,Калининградская область,"54.643775,19.894477"
Барабинск,Новосибирская область,"55.350412,78.341923"
Барнаул,Алтайский край,"53.346785,83.776856"
Барыш,Ульяновская область,"53.651846,47.105551"
Батайск,Ростовская область,"47.138333,39.744469"
Бахчисарай,Крым,"44.755694,33.848987"
Бежецк,Тверская область,"57.781318,36.693188"
Белая Калитва,Ростовская область,"48.177644,40.802388"
Белая Холуница,Кировская область,"58.84356,50.85273"
Белгород,Белгородская область,"50.595414,36.587277"
Белебей,Башкортостан,"54.103214,54.110111"
Белёв,Тульская область,"53.810152,36.130097"
Белинский,Пензенская область,"52.9653,43.417033"
Белово,Кемеровская область,"54.419291,86.303314"
Белогорск,Амурская область,"50.921292,128.473926"
Белогорск,Крым,"45.057869,34.604175"
Белозерск,Вологодская область,"60.032074,37.792456"
Белокуриха,Алтайский край,"51.996077,84.983968"
Беломорск,Карелия,"64.53032,34.763328"
Белоозёрский,Московская область,"55.459619,38.43892"
Белорецк,Башкортостан,"53.967621,58.410023"
Белореченск,Краснодарский край,"44.766017,39.86849"
Белоусово,Калужская область,"55.089532,36.662654"
Белоярский,Ханты-Мансийский АО,"63.716043,66.667597"
Белый,Тверская область,"55.833855,32.938814"
Бердск,Новосибирская область,"54.758288,83.107135"
Березники,Пермский край,"59.407024,56.806719"
Берёзовский,Кемеровская область,"55.669361,86.274523"
Берёзовский,Свердловская область,"56.909583,60.816457"
Беслан,Северная Осетия,"43.190783,44.541607"
Бийск,Алтайский край,"52.541811,85.220656"
Бикин,Хабаровский край,"46.818592,134.255043"
Билибино,Чукотский АО,"68.057129,166.451139"
Биробиджан,Еврейская АО,"48.78992,132.924746"
Бирск,Башкортостан,"55.417531,55.530716"
Бирюсинск,Иркутская область,"55.962438,97.813302"
Бирюч,Белгородская область,"50.649337,38.40023"
Благовещенск,Башкортостан,"55.049854,55.955224"
Благовещенск,Амурская область,"50.257456,127.534611"
Благодарный,Ставропольский край,"45.095656,43.44003"
Бобров,Воронежская область,"51.097724,40.035604"
Богданович,Свердловская область,"56.773977,62.057129"
Богородицк,Тульская область,"53.770699,38.131696"
Богородск,Нижегородская область,"56.103362,43.516764"
Боготол,Красноярский край,"56.211523,89.531222"
Богучар,Воронежская область,"49.935512,40.559088"
Бодайбо,Иркутская область,"57.847975,114.199867"
Бокситогорск,Ленинградская область,"59.473576,33.847675"
Болгар,Татарстан,"54.982239,49.022628"
Бологое,Тверская область,"57.885636,34.04959"
Болотное,Новосибирская область,"55.672006,84.385447"
Болохово,Тульская область,"54.082113,37.826799"
Болхов,Орловская область,"53.443097,36.005087"
Большой Камень,Приморский край,"43.111725,132.350345"
Бор,Нижегородская область,"56.356522,44.064575"
Борзя,Забайкальский край,"50.391551,116.527042"
Борисоглебск,Воронежская область,"51.366308,42.075183"
Боровичи,Новгородская область,"58.390115,33.910459"
Боровск,Калужская область,"55.207428,36.48353"
Бородино,Красноярский край,"55.905442,94.902177"
Братск,Иркутская область,"56.151682,101.633505"
Бронницы,Московская область,"55.42565,38.264243"
Брянск,Брянская область,"53.2434,34.363991"
Бугры,Ленинградская область,"60.068722,30.393806"
Бугульма,Татарстан,"54.541877,52.798634"
Бугуруслан,Оренбургская область,"53.6523,52.432606"
Будённовск,Ставропольский край,"44.780184,44.163129"
Бузулук,Оренбургская область,"52.787097,52.263292"
Буинск,Татарстан,"54.964158,48.290151"
Буй,Костромская область,"58.481724,41.533113"
Буйнакск,Дагестан,"42.821755,47.115927"
Бутурлиновка,Воронежская область,"50.835367,40.584825"
Валдай,Новгородская область,"57.98069,33.246406"
Валуйки,Белгородская область,"50.211332,38.100111"
Велиж,Смоленская область,"55.605485,31.195364"
Великие Луки,Псковская область,"56.343703,30.515671"
Великий Новгород,Новгородская область,"58.522857,31.269816"
Великий Устюг,Вологодская область,"60.758106,46.304694"
Вельск,Архангельская область,"61.065915,42.10331"
Венёв,Тульская область,"54.350369,38.265536"
Верещагино,Пермский край,"58.076592,54.669043"
Верея,Московская область,"55.343369,36.185694"
Верхнеуральск,Челябинская область,"53.872842,59.206613"
Верхний Тагил,Свердловская область,"57.371773,59.934132"
Верхний Уфалей,Челябинская область,"56.054673,60.221107"
Верхняя Пышма,Свердловская область,"56.970236,60.573462"
Верхняя Салда,Свердловская область,"58.050898,60.546253"
Верхняя Тура,Свердловская область,"58.359818,59.820153"
Верхотурье,Свердловская область,"58.862216,60.810222"
Верхоянск,Якутия,"67.54843,133.388088"
Весьегонск,Тверская область,"58.658093,37.259288"
Ветлуга,Нижегородская область,"57.852889,45.776099"
Видное,Московская область,"55.557037,37.70876"
Вилюйск,Якутия,"63.7549,121.623607"
Вилючинск,Камчатский край,"52.93179,158.405063"
Вихоревка,Иркутская область,"56.120723,101.170396"
Вичуга,Ивановская область,"57.217138,41.918158"
Владивосток,Приморский край,"43.115542,131.885494"
Владикавказ,Северная Осетия,"43.024616,44.681771"
Владимир,Владимирская область,"56.129057,40.406635"
Волгоград,Волгоградская область,"48.791588,44.354443"
Волгодонск,Ростовская область,"47.519624,42.206329"
Волгореченск,Костромская область,"57.439522,41.157438"
Волжск,Марий Эл,"55.860428,48.378168"
Волжский,Волгоградская область,"48.786127,44.751229"
Вологда,Вологодская область,"59.220501,39.891523"
Володарск,Нижегородская область,"56.223621,43.179977"
Волоколамск,Московская область,"56.035869,35.955222"
Волосово,Ленинградская область,"59.447275,29.484819"
Волхов,Ленинградская область,"59.900543,32.352681"
Волчанск,Свердловская область,"59.934749,60.077871"
Вольск,Саратовская область,"52.045978,47.387299"
Воркута,Коми,"67.493504,64.050113"
Воронеж,Воронежская область,"51.660781,39.200296"
Ворсма,Нижегородская область,"55.988067,43.274821"
Воскресенск,Московская область,"55.322978,38.673362"
Воткинск,Удмуртия,"57.05232,53.985236"
Всеволожск,Ленинградская область,"60.024626,30.645873"
Вуктыл,Коми,"63.844407,57.29984"
Выборг,Ленинградская область,"60.271815,28.960203"
Выкса,Нижегородская область,"55.320688,42.16797"
Высоковск,Московская область,"56.320248,36.551236"
Высоцк,Ленинградская область,"60.625604,28.568277"
Вытегра,Вологодская область,"61.006359,36.449511"
Вышний Волочёк,Тверская область,"57.584174,34.558836"
Вяземский,Хабаровский край,"47.535066,134.753635"
Вязники,Владимирская область,"56.247026,42.158862"
Вязьма,Смоленская область,"55.205944,34.298037"
Вятские Поляны,Кировская область,"56.222896,51.074919"
